Label,Message
ham,"Hi John, Just reminding you about tomorrow’s team meeting at 11 AM. Please bring the updated presentation slides. Thanks, Sarah"
spam,"Win an iPhone 16 Pro Max absolutely FREE. Click this link immediately to receive your prize."
ham,"Dear Student, Your assignment submission has been received successfully. Regards, Department Office"
spam,"CONGRATULATIONS!!! You have WON a FREE vacation to Dubai. Click now to claim your reward money instantly."
ham,"Hello, Your food order has been confirmed and will arrive in 25 minutes. Thank you for choosing us."
spam,"URGENT ALERT Your bank account will be suspended. Verify your account immediately by clicking below."
ham,"Can we move today's project discussion to 4 PM? Let me know if that works for you."
spam,"You are selected for a CASH PRIZE of ₹5,00,000. Claim your money reward now!!!"
ham,"Your monthly electricity bill has been generated. Please pay before 25th May to avoid late charges."
spam,"LIMITED OFFER!!! Buy now and get 90% discount. Free gifts available for first 50 customers."
